"date","account_name","transaction_type","amount","fund_category","source_notes","transfer_to_account"
"2025-04-11","Moomoo RRSP","Transfer In","100.00","Retirement Saving","first deposit","Moomoo RRSP"
"2025-04-11","RBC Chequing","Transfer Out","-100.00","Retirement Saving","first deposit","Moomoo RRSP"
"2025-04-15","Moomoo RRSP","Transfer In","5000.00","Retirement Saving","second deposit","Moomoo RRSP"
"2025-04-15","RBC Chequing","Transfer Out","-5000.00","Retirement Saving","second deposit","Moomoo RRSP"
"2025-04-28","RBC Chequing","Transfer Out","-4900.00","Retirement Saving","third deposit","Moomoo RRSP"
"2025-04-28","Moomoo RRSP","Transfer In","4900.00","Retirement Saving","third deposit","Moomoo RRSP"
"2025-04-30","RBC Chequing","Deposit","118.21","Medium-term Saving","saved from 2025 04",NULL
"2025-04-30","RBC Chequing","Deposit","200.00","Traveling Funds","saved from 2025 04",NULL
"2025-04-30","RBC Chequing","Deposit","472.82","Retirement Saving","saved from 2025 04",NULL
"2025-05-01","RBC TFSA","Deposit","100.00","Direct Investing","saved from 2025 05",NULL
"2025-05-31","RBC Chequing","Deposit","400.00","Traveling Funds","saved from 2025 05",NULL
"2025-05-31","RBC Chequing","Deposit","506.13","Medium-term Saving","saved from 2025 05",NULL
"2025-05-31","RBC Chequing","Deposit","2024.53","Retirement Saving","saved from 2025 05",NULL
